League,Clube,Vitórias,Sem derrotas,Sem vitórias,Perdeu,A zero,Cartões amarelos,Cartões vermelhos,Duplo amarelo,Duplo amarelo.1,Pontos,Derrotas,Empate,Jogos a perder,Jogos com liderança,Cabeceio,Canhotos,Destros,Penalidade,Tiro livre,Total,Golos total,Marcadores diferentes,Estrangeiros,Plantel,Valor de mercado total,ø-Idade,ø-valor de mercado,Golos,Remates à baliza,Taxa
NL1,AFC Ajax,0.0,4.0,1.0,0.0,0.0,31,0,1,1,34,3.0,5.0,10.0,12.0,4.0,6.0,16.0,1.0,0.0,32.0,30.0,12.0,15.0,30.0,"187,70 M €","24,7","6,26 M €",32.0,333.0,"9,6 %"
NL1,NEC Nijmegen,0.0,6.0,2.0,0.0,0.0,29,2,1,3,42,4.0,3.0,10.0,12.0,8.0,7.0,22.0,3.0,0.0,43.0,40.0,16.0,16.0,29.0,"37,85 M €","26,5","1,31 M €",43.0,350.0,"12,3 %"
NL1,FC Groningen,0.0,3.0,1.0,0.0,0.0,23,0,2,2,29,6.0,3.0,10.0,8.0,3.0,6.0,8.0,3.0,2.0,25.0,25.0,10.0,12.0,27.0,"32,45 M €","23,9","1,20 M €",25.0,368.0,"6,8 %"
NL1,FC Twente,0.0,7.0,1.0,0.0,0.0,26,1,1,2,34,4.0,3.0,8.0,12.0,2.0,12.0,6.0,6.0,0.0,26.0,26.0,11.0,15.0,28.0,"57,45 M €","25,7","2,05 M €",26.0,428.0,"6,1 %"
NL1,AZ Alkmaar,0.0,0.0,5.0,1.0,0.0,37,0,1,1,40,5.0,4.0,9.0,12.0,3.0,8.0,12.0,4.0,0.0,31.0,29.0,11.0,9.0,29.0,"147,13 M €","23,6","5,07 M €",31.0,364.0,"8,5 %"
NL1,FC Utrecht,0.0,0.0,5.0,1.0,0.0,23,0,0,0,23,6.0,3.0,10.0,10.0,9.0,8.0,9.0,0.0,0.0,28.0,28.0,14.0,18.0,30.0,"81,85 M €","25,3","2,73 M €",28.0,345.0,"8,1 %"
NL1,Go Ahead Eagles,0.0,1.0,5.0,0.0,0.0,22,1,1,2,30,6.0,6.0,12.0,10.0,5.0,8.0,9.0,1.0,0.0,26.0,24.0,11.0,16.0,38.0,"30,58 M €","23,6",805 mil €,26.0,237.0,"11,0 %"
NL1,PEC Zwolle,0.0,0.0,1.0,1.0,0.0,29,2,2,4,45,8.0,3.0,11.0,8.0,3.0,5.0,8.0,0.0,1.0,21.0,21.0,7.0,9.0,27.0,"22,35 M €","23,7",828 mil €,21.0,198.0,"10,6 %"
NL1,FC Volendam,0.0,0.0,5.0,4.0,0.0,21,1,0,1,26,9.0,4.0,14.0,7.0,3.0,5.0,8.0,1.0,0.0,19.0,19.0,11.0,9.0,29.0,"11,35 M €","24,3",391 mil €,19.0,253.0,"7,5 %"
NL1,Heracles Almelo,0.0,0.0,4.0,2.0,0.0,31,1,1,2,39,11.0,2.0,16.0,7.0,5.0,4.0,13.0,2.0,0.0,26.0,26.0,10.0,15.0,28.0,"13,73 M €","25,4",490 mil €,26.0,281.0,"9,3 %"
NL1,NAC Breda,0.0,0.0,6.0,1.0,0.0,27,3,1,4,45,10.0,2.0,13.0,8.0,2.0,5.0,5.0,2.0,0.0,16.0,15.0,7.0,18.0,31.0,"16,20 M €","25,9",523 mil €,16.0,336.0,"4,8 %"
GB1,Aston Villa FC,7.0,7.0,0.0,0.0,0.0,24,1,0,1,29,,,,,3.0,7.0,17.0,0.0,2.0,30.0,29.0,9.0,16.0,23.0,"519,50 M €","28,0","22,59 M €",30.0,287.0,"10,5 %"
GB1,Manchester City FC,5.0,5.0,0.0,0.0,3.0,27,0,0,0,27,,,,,5.0,17.0,11.0,1.0,0.0,43.0,40.0,10.0,19.0,26.0,"1,19 mil M €","26,5","45,87 M €",43.0,343.0,"12,5 %"
GB1,FC Arsenal,2.0,2.0,0.0,0.0,1.0,22,0,0,0,22,,,,,8.0,4.0,17.0,3.0,0.0,37.0,34.0,13.0,17.0,25.0,"1,29 mil M €","25,9","51,44 M €",37.0,408.0,"9,1 %"
GB1,Brentford FC,2.0,3.0,0.0,0.0,0.0,34,0,0,0,34,,,,,3.0,7.0,7.0,5.0,0.0,28.0,27.0,8.0,22.0,30.0,"455,90 M €","25,1","15,20 M €",28.0,248.0,"11,3 %"
GB1,Tottenham Hotspur,1.0,1.0,0.0,0.0,1.0,42,1,1,2,50,,,,,8.0,3.0,12.0,0.0,0.0,27.0,26.0,12.0,23.0,29.0,"878,50 M €","25,5","30,29 M €",27.0,244.0,"11,1 %"
GB1,Leeds United FC,1.0,4.0,0.0,0.0,0.0,27,0,0,0,27,,,,,6.0,4.0,11.0,2.0,2.0,25.0,25.0,10.0,19.0,26.0,"313,08 M €","27,2","12,04 M €",25.0,342.0,"7,3 %"
GB1,Liverpool FC,0.0,7.0,1.0,0.0,1.0,33,0,0,0,33,,,,,2.0,3.0,19.0,1.0,1.0,30.0,29.0,10.0,20.0,26.0,"1,04 mil M €","25,9","40,10 M €",30.0,405.0,"7,4 %"
GB1,Chelsea FC,0.0,1.0,3.0,0.0,0.0,34,3,1,4,52,,,,,8.0,6.0,10.0,2.0,2.0,32.0,32.0,11.0,21.0,31.0,"1,18 mil M €","23,7","38,18 M €",32.0,364.0,"8,8 %"
GB1,Manchester United FC,0.0,2.0,1.0,0.0,0.0,23,0,1,1,26,,,,,7.0,8.0,12.0,2.0,1.0,33.0,31.0,12.0,19.0,26.0,"719,15 M €","25,8","27,66 M €",33.0,421.0,"7,8 %"
GB1,AFC Sunderland,0.0,3.0,2.0,0.0,0.0,35,2,0,2,45,,,,,5.0,2.0,7.0,2.0,0.0,20.0,18.0,11.0,24.0,35.0,"365,05 M €","25,3","10,43 M €",20.0,237.0,"8,4 %"
GB1,Crystal Palace FC,0.0,0.0,2.0,2.0,0.0,30,0,0,0,30,,,,,6.0,3.0,8.0,4.0,0.0,22.0,21.0,8.0,18.0,28.0,"501,60 M €","25,9","17,91 M €",22.0,307.0,"7,2 %"
GB1,FC Fulham,0.0,4.0,1.0,0.0,0.0,33,0,0,0,33,,,,,5.0,10.0,6.0,1.0,0.0,26.0,22.0,11.0,20.0,24.0,"355,95 M €","28,2","14,83 M €",26.0,310.0,"8,4 %"
GB1,FC Everton,0.0,1.0,3.0,0.0,1.0,34,1,0,1,39,,,,,3.0,5.0,7.0,1.0,0.0,20.0,19.0,8.0,13.0,24.0,"400,85 M €","26,9","16,70 M €",20.0,280.0,"7,1 %"
GB1,Brighton & Hove Albion,0.0,0.0,5.0,1.0,0.0,41,0,0,0,41,,,,,5.0,5.0,13.0,3.0,1.0,28.0,27.0,15.0,18.0,26.0,"519,50 M €","26,3","19,98 M €",28.0,357.0,"7,8 %"
